class,precision,recall,f1,support,dataset,seed
DoS-UDP_Flood,0.19306026611009652,0.10426940960969423,0.1354071363220494,7097,CICIoT2023,1
MITM-ArpSpoofing,0.0,0.0,0.0,684,CICIoT2023,1
Mirai-greeth_flood,0.05,0.0013986013986013986,0.0027210884353741495,2145,CICIoT2023,1
Mirai-greip_flood,0.30057803468208094,0.19561128526645769,0.2369920243068743,1595,CICIoT2023,1
Mirai-udpplain,0.0,0.0,0.0,1892,CICIoT2023,1
Recon-HostDiscovery,0.13333333333333333,0.0761904761904762,0.09696969696969697,315,CICIoT2023,1
Recon-OSScan,0.0,0.0,0.0,215,CICIoT2023,1
Recon-PingSweep,0.0,0.0,0.0,5,CICIoT2023,1
Recon-PortScan,0.0,0.0,0.0,190,CICIoT2023,1
SqlInjection,0.0,0.0,0.0,12,CICIoT2023,1
Uploading_Attack,0.0,0.0,0.0,0,CICIoT2023,1
VulnerabilityScan,0.0,0.0,0.0,77,CICIoT2023,1
XSS,0.0,0.0,0.0,12,CICIoT2023,1
Backdoor_Malware,0.0,0.0,0.0,7,CICIoT2023,2
BenignTraffic,0.5667673716012085,0.38569078947368424,0.45901639344262296,2432,CICIoT2023,2
BrowserHijacking,0.0,0.0,0.0,8,CICIoT2023,2
CommandInjection,0.0,0.0,0.0,10,CICIoT2023,2
DDoS-ACK_Fragmentation,0.3134447096260939,0.635483870967742,0.41981885988279166,620,CICIoT2023,2
DDoS-HTTP_Flood,0.009009009009009009,0.03508771929824561,0.014336917562724014,57,CICIoT2023,2
DDoS-ICMP_Flood,0.9995329597010942,0.9866956464466838,0.9930728182691989,15183,CICIoT2023,2
DDoS-ICMP_Fragmentation,0.5606361829025845,0.6025641025641025,0.5808444902162719,936,CICIoT2023,2
DDoS-PSHACK_Flood,0.9982091690544412,0.9520610339330449,0.9745891129502273,8782,CICIoT2023,2
DDoS-RSTFINFlood,0.9977549332388042,0.9781072628286807,0.9878334113242864,8633,CICIoT2023,2
