accuracy,balanced_accuracy,macro_f1,weighted_f1,attack_recall,minority_recall,precision_attack,fpr,fnr,roc_auc,pr_auc,model,family,train_time_sec,inference_latency_sec_per_sample,peak_memory_MB,seed,eval_split,dataset,n_params,cumulative_reward,cumulative_reward_per_window,avg_detection_delay,telemetry_cost,escalation_rate,isolation_rate,abstention_rate,budget_violation_rate
0.8026666666666666,0.7648880045431097,0.7753809599626882,0.797144807888394,0.9007824726134586,0.6289935364727608,0.8112374330545898,0.3710064635272391,0.0992175273865414,0.8696008065079371,0.9133834431322116,StaticThreshold,rl,,,,0,test,UNSW-NB15,,6229.499999999995,26.508510638297853,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8696008065079371,0.9133834431322116,OracleUpperBound,rl,,,,0,test,UNSW-NB15,,13934.999999999976,59.29787234042542,0.0,0.0,0.0,0.0,0.0,0.0
0.8128,0.7691307129367041,0.7829085801229487,0.805367422725505,0.9257637368366176,0.6124976890367906,0.8090205011389522,0.3875023109632095,0.0742362631633823,0.8725592869647951,0.9145037246325016,LogisticRegression,classical_tree,1.2418110370635986,1.6455650329589845e-07,3.437421,1,test,UNSW-NB15,,,,,,,,,
0.8942,0.8726873959126846,0.8820908631830966,0.8926255854981142,0.9498488165988948,0.7955259752264744,0.8917384494909946,0.2044740247735256,0.0501511834011052,0.961987120135332,0.9745950776264546,LinearSVM,classical_tree,24.03149700164795,6.734212239583333e-07,27.800657,1,test,UNSW-NB15,,,,,,,,,
0.7332666666666666,0.7584887743426036,0.7293033977125765,0.7384352934514222,0.6680221040558857,0.8489554446293215,0.8869047619047619,0.1510445553706785,0.3319778959441142,0.8482739670955849,0.8885068336037235,GaussianNB,classical_tree,0.030909776687622,5.865732828776042e-07,30.221621,1,test,UNSW-NB15,,,,,,,,,
0.9233333333333332,0.9173958091719492,0.9169585809235308,0.9233732138825766,0.9386925242414764,0.896099094102422,0.9412441191845268,0.1039009058975781,0.0613074757585236,0.9814318166147588,0.987485227400024,kNN,classical_tree,0.0044403076171875,2.603615125020345e-05,6.511092,1,test,UNSW-NB15,,,,,,,,,
0.9301333333333334,0.9381909216170432,0.926134727062648,0.9309261801927358,0.9092899593368784,0.9670918838972083,0.979997752556467,0.0329081161027916,0.0907100406631216,0.9794472170220128,0.9832905096242874,DecisionTree,classical_tree,0.5034470558166504,1.643498738606771e-07,16.316384,1,test,UNSW-NB15,,,,,,,,,
0.9408666666666666,0.9444479719703944,0.9369087270717578,0.9413143973900728,0.9316025440517152,0.9572933998890738,0.9747981671394284,0.0427066001109262,0.0683974559482848,0.9909203506036957,0.9950332286359218,RandomForest,classical_tree,1.6935999393463137,7.4604034423828125e-06,224.523358,1,test,UNSW-NB15,,,,,,,,,
0.9226,0.922183095598324,0.9170530060440708,0.9230332918712674,0.9236784485455114,0.920687742651137,0.953811369509044,0.079312257348863,0.0763215514544885,0.9837548273855294,0.9908460116804212,ExtraTrees,classical_tree,1.028489351272583,7.237434387207032e-06,187.654759,1,test,UNSW-NB15,,,,,,,,,
0.9364,0.9313219033396593,0.93107858555495,0.936417874232781,0.9495360233552288,0.9131077833240896,0.9509240889631408,0.0868922166759105,0.0504639766447711,0.9883719733321352,0.9935937959117628,GradientBoosting,classical_tree,32.540876388549805,8.533159891764323e-07,19.177938,1,test,UNSW-NB15,,,,,,,,,
