accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_attack,recall_attack,minority_recall,fpr,fnr,roc_auc,pr_auc,threshold,tn,fp,fn,tp,dataset,seed,component,split,note,train_time_sec
0.9141333333333334,0.8924024285922669,0.9037251087547482,0.9126560914020663,0.9036448235750291,0.9694259567387687,0.9694259567387687,0.18462109955423478,0.030574043261231282,0.9746835311009634,0.9709623149411994,0.5,2195,497,147,4661,UNSW-NB15,2,No_ContrastiveLearning,test,,3.2196362018585205
0.9173443540861218,0.9004608666205051,0.9083061140666562,0.9164309353495474,0.9149990093124628,0.9602828030775629,0.9602828030775629,0.15936106983655274,0.039717196922437095,0.9725395316545222,0.9712233808914436,0.5700000000000001,2263,429,191,4618,UNSW-NB15,2,No_HardClassMining,val,,5.741787433624268
0.9165333333333333,0.8996692918934021,0.9074294902553124,0.9156198524802666,0.9145519429024583,0.9594425956738769,0.9594425956738769,0.1601040118870728,0.04055740432612313,0.975037038937086,0.9704325263745983,0.5700000000000001,2261,431,195,4613,UNSW-NB15,2,No_HardClassMining,test,,5.741787433624268
0.9054792694307425,0.890635037017331,0.8958573921925996,0.9047913896106472,0.912308930008045,0.9432314410480349,0.9432314410480349,0.16196136701337296,0.056768558951965066,0.9663783961906492,0.9816481824417307,0.505,2256,436,273,4536,UNSW-NB15,2,PlainKD_NoHardClassExtras,val,,2.686521530151367
0.9094666666666666,0.8946480976480506,0.9001854795852993,0.9087727082097738,0.914641494275959,0.947171381031614,0.947171381031614,0.15787518573551262,0.052828618968386025,0.9710321362612586,0.9845364625915385,0.505,2267,425,254,4554,UNSW-NB15,2,PlainKD_NoHardClassExtras,test,,2.686521530151367
0.9987407303763817,0.9976210709891482,0.9980178882786394,0.9987402279374816,0.998953427524856,0.9994764397905759,0.9994764397905759,0.004234297812279464,0.0005235602094240838,0.999943715122158,0.999985926779057,0.5,1411,6,3,5727,ToN-IoT-Network,0,Full_AegisGraphX_backbone,val,,
0.997545008183306,0.9961587245256731,0.9963844676097324,0.9975444494252061,0.9982590529247911,0.9986067572274469,0.9986067572274469,0.006289308176100629,0.0013932427725531174,0.9997797318226725,0.9999493600004092,0.5,1580,10,8,5734,ToN-IoT-Network,0,Full_AegisGraphX_backbone,test,,
0.9987407303763817,0.9970898747569097,0.9980157761268097,0.9987395556819958,0.9986055429667073,0.999825479930192,0.999825479930192,0.0056457304163726185,0.00017452006980802793,0.9999550459947213,0.9999887416381108,0.095,1409,8,1,5729,ToN-IoT-Network,0,No_ExpertEnsemble_BestSingleExpert,val,LightGBM,
0.9976813966175668,0.9960184144634372,0.9965829965396549,0.9976800754724165,0.9980859578910736,0.9989550679205852,0.9989550679205852,0.006918238993710692,0.0010449320794148381,0.9999716312988922,0.9999921444279511,0.095,1579,11,6,5736,ToN-IoT-Network,0,No_ExpertEnsemble_BestSingleExpert,test,LightGBM,
0.9981810549881069,0.9956784421528165,0.9971308386195774,0.9981783832998428,0.9979097718167567,0.999825479930192,0.999825479930192,0.008468595624558928,0.00017452006980802793,0.9998334854379813,0.9999545022481875,0.395,1405,12,1,5729,ToN-IoT-Network,0,No_MoERouter_EqualWeight,val,,
0.9974086197490453,0.9951620959103067,0.9961775095547856,0.9974059569295912,0.997565640758129,0.9991292232671543,0.9991292232671543,0.00880503144654088,0.0008707767328456984,0.999764725984635,0.9999294192914452,0.395,1576,14,5,5737,ToN-IoT-Network,0,No_MoERouter_EqualWeight,test,,
0.9983209738351756,0.9965624965360784,0.9973550730269258,0.9983196319956642,0.9984309623430963,0.9994764397905759,0.9994764397905759,0.006351446718419196,0.0005235602094240838,0.9998991306018541,0.9999742864020645,0.41500000000000004,1408,9,3,5727,ToN-IoT-Network,0,No_GraphBranch,val,,
0.9974086197490453,0.9956168713813476,0.9961809961325554,0.9974071431750537,0.9979119540629894,0.998780912574016,0.998780912574016,0.007547169811320755,0.0012190874259839777,0.9999422768128038,0.9999839231657487,0.41500000000000004,1578,12,7,5735,ToN-IoT-Network,0,No_GraphBranch,test,,
0.9983209738351756,0.9962968984199592,0.997353662772141,0.9983191829329529,0.9982572324851865,0.999650959860384,0.999650959860384,0.007057163020465773,0.00034904013961605586,0.9992552414522731,0.9985660029530684,0.385,1407,10,2,5728,ToN-IoT-Network,0,No_TemporalBranch,val,,
