baseline,dataset,metric,n_paired_seeds,winner_mean,baseline_mean,t_stat,p_ttest,wilcoxon_stat,p_wilcoxon,cohens_d,p_ttest_holm,p_wilcoxon_holm
ExtraTrees,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.9936492763238908,-6.91407605304524,0.020284253530636388,0.0,0.25,-5.599783011777174,0.7336079694910469,1.0
GradientBoosting,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.9943631123322082,-6.9057017026782725,0.020331988513981686,0.0,0.25,-5.608945161934941,0.7336079694910469,1.0
HistGradientBoosting,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.9978255945497271,-6.905803011731936,0.02033141004187772,0.0,0.25,-5.6510109932379,0.7336079694910469,1.0
XGBoost,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.9979080379151201,-6.908279988509572,0.020317274166299498,0.0,0.25,-5.652017659776621,0.7336079694910469,1.0
LightGBM,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.9983603423358565,-6.934137833981116,0.020170573063183865,0.0,0.25,-5.6574476554640984,0.7336079694910469,1.0
CatBoost,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.9971299923286496,-6.8948513504822255,0.020394085478476254,0.0,0.25,-5.642652597845751,0.7336079694910469,1.0
MLP,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.9317367631779417,-6.571605284806649,0.02238120968502385,0.0,0.25,-4.825213504299245,0.7336079694910469,1.0
1D-CNN,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.4286147389131639,0.7163798437807669,0.5481130230535103,1.0,0.5,0.5354677055080795,1.0,1.0
LSTM,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.9717743622392382,-6.450113572930178,0.02320288100691562,0.0,0.25,-5.336727489413163,0.7336079694910469,1.0
GRU,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.9670385240606564,-5.9778789306141205,0.026861336318184693,0.0,0.25,-5.261860715328059,0.7336079694910469,1.0
CNN-LSTM,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.9295052039028399,-6.380627833301056,0.023693079507415074,0.0,0.25,-4.813889105083282,0.7336079694910469,1.0
