accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_benign,recall_benign,f1_benign,precision_attack,recall_attack,f1_attack,minority_recall,fpr,fnr,roc_auc,pr_auc,threshold,threshold_key,tn,fp,fn,tp,dataset,seed,candidate,split,n_experts,latency_sec,peak_memory_MB,row_cap,post_determinism_fix,rl_train_time_sec,eval_latency_sec,n_rl_params,attack_recall,cumulative_reward,cumulative_reward_per_window,avg_detection_delay,telemetry_cost,escalation_rate,isolation_rate,abstention_rate,budget_violation_rate,calibration_violation_rate,commit_rate
0.9960721559499564,0.9946587173773002,0.9940150867873362,0.9960747081449473,0.9887679887679888,0.9922507925325819,0.990506329113924,0.9979814661895586,0.9970666422220185,0.9975238444607484,0.9970666422220185,0.007749207467418105,0.002933357777981483,0.9998880553075878,0.9999709792604216,0.33,temperature,2817.0,22.0,32.0,10877.0,ToN-IoT-Network,6,A_TreeGuidedGraphMoE,test,9,790.0683825016022,945.669825,100000,True,,,,,,,,,,,,,,
0.9966650197628458,0.9968664799218925,0.9960916172044153,0.9966676084877146,,,,0.9988375212375927,,,0.9973900823127886,0.0026099176872114035,0.003657122469003657,0.9999361233377227,0.9999717925605756,,,,,,,ToN-IoT-Network,6,B_BudgetedRLInvestigation,val,9,810.3674032688141,0.497797,100000,True,20.299020767211914,9.207304000854492,9747.0,0.9963428775309964,26091.730000000014,103.12936758893287,0.0,0.0,0.0,0.1495800395256917,0.0,0.0,6.175889328063241e-05,0.8436882411067194
0.9967267966249637,0.9962437825410903,0.9950183954841763,0.9967308283752647,,,,0.9988062442607897,,,0.995420922860162,0.004579077139837971,0.002933357777981483,0.9998880553075878,0.9999709792604216,,,,,,,ToN-IoT-Network,6,B_BudgetedRLInvestigation,test,9,810.3674032688141,0.497797,100000,True,20.299020767211914,7.66160249710083,9747.0,0.9970666422220185,23581.37000000003,109.68079069767457,0.0,0.0,0.0,0.017093395402967705,0.0,0.0,0.00036368926389292985,0.9823974396275822
0.9966650197628458,0.9968664799218925,0.9960916172044153,0.9966676084877146,,,,0.9988375212375927,,,0.9973900823127886,0.0026099176872114035,0.003657122469003657,0.9999361233377227,0.9999717925605756,,,,,,,ToN-IoT-Network,6,C_SafetyShieldedRL,val,9,810.3674032688141,0.497797,100000,True,20.299020767211914,9.648216962814331,9747.0,0.9963428775309964,26091.730000000014,103.12936758893287,0.0,0.0,0.0,0.1495800395256917,0.0,0.0,6.175889328063241e-05,0.8436882411067194
0.9967267966249637,0.9962437825410903,0.9950183954841763,0.9967308283752647,,,,0.9988062442607897,,,0.995420922860162,0.004579077139837971,0.002933357777981483,0.9998880553075878,0.9999709792604216,,,,,,,ToN-IoT-Network,6,C_SafetyShieldedRL,test,9,810.3674032688141,0.497797,100000,True,20.299020767211914,11.795429944992065,9747.0,0.9970666422220185,23581.37000000003,109.68079069767457,0.0,0.0,0.0,0.017093395402967705,0.0,0.0,0.00036368926389292985,0.9823974396275822
0.9955070346428643,0.9681776494015872,0.9523589916463506,0.9955828006192107,0.8767013610888711,0.9395109395109396,0.9070200869745288,0.9985528962601092,0.9968443592922349,0.9976978963181723,0.9968443592922349,0.06048906048906049,0.0031556407077651303,0.9990309459485615,0.9999770039690137,0.335,temperature,2190.0,141.0,308.0,97295.0,CICIoT2023,6,A_TreeGuidedGraphMoE,val,9,819.0021286010742,4130.0099,100000,True,,,,,,,,,,,,,,
0.9953559596849259,0.9701923924631215,0.9520540854727806,0.9954453443922546,0.8720434276851493,0.9437683592110785,0.9064893188230552,0.9986232971007047,0.9966164257151645,0.997618852122506,0.9966164257151645,0.056231640788921525,0.003383574284835435,0.9990720954448568,0.9999774592993629,0.335,temperature,2249.0,134.0,330.0,97200.0,CICIoT2023,6,A_TreeGuidedGraphMoE,test,9,819.0021286010742,4130.0099,100000,True,,,,,,,,,,,,,,
0.976674605239458,0.5,0.4940998395237348,0.9651495314314464,,,,0.976674605239458,,,0.0,1.0,0.0,0.9990309459485612,0.9999770039690126,,,,,,,CICIoT2023,6,B_BudgetedRLInvestigation,val,9,852.0163793563843,0.502952,100000,True,33.01425075531006,87.8622350692749,10131.0,1.0,256235.05999999942,164.04293213828387,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.9761492498473672,0.5,0.49396534696089506,0.9643678057729443,,,,0.9761492498473672,,,0.0,1.0,0.0,0.9990720954448568,0.9999774592993537,,,,,,,CICIoT2023,6,B_BudgetedRLInvestigation,test,9,852.0163793563843,0.502952,100000,True,33.01425075531006,53.38833522796631,10131.0,1.0,255897.76999999938,163.82699743918013,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.976674605239458,0.5,0.4940998395237348,0.9651495314314464,,,,0.976674605239458,,,0.0,1.0,0.0,0.9990309459485612,0.9999770039690126,,,,,,,CICIoT2023,6,C_SafetyShieldedRL,val,9,852.0163793563843,0.502952,100000,True,33.01425075531006,53.27873945236206,10131.0,1.0,256235.05999999942,164.04293213828387,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
