dataset,model,macro_f1,minority_recall,pr_auc,fpr,fnr,roc_auc,train_time_sec,inference_latency_sec_per_sample
ToN-IoT-Network,GraphSAGE,0.9624548615134233,0.9596131704683435,0.9838067792700728,0.04038682953165653,0.021172438833475703,0.9782342493577835,3.6169482072194423,4.2165067067633865e-06
ToN-IoT-Network,TransformerEncoder,0.9480842409859802,0.9326424666465548,0.9972257916948136,0.0673575333534452,0.025821644021722698,0.9915982765586975,77.72936201095581,1.1171349238160825e-05
ToN-IoT-Network,CNN-BiLSTM,0.9407589537470585,0.9624665997735177,0.997090750862526,0.03753340022648217,0.042383915120059734,0.9923358269462863,52.61419185002645,1.916466050833688e-05
ToN-IoT-Network,MLP,0.9317367631779417,0.9528256645074134,0.9835657558769295,0.047174335492586705,0.04777659966246983,0.9759093723345451,5.152499278386434,6.002537016899731e-06
ToN-IoT-Network,CNN-LSTM,0.9295052039028401,0.9580259433623569,0.9968876147713486,0.0419740566376432,0.05150571664064784,0.9911634741205925,22.46045446395874,1.3659265234488124e-05
ToN-IoT-Network,GAT,0.9138397336755079,0.9161598553262281,0.9734165184806359,0.08384014467377177,0.05315404278730477,0.9577824251681853,5.577891031901042,6.97335296675297e-06
ToN-IoT-Network,Protocol-role-GAT,0.9067490244596845,0.9335746185552273,0.9816034284674564,0.06642538144477263,0.06547444942197383,0.9614116983950954,7.240108410517375,9.03798451291251e-06
ToN-IoT-Network,GCN,0.889875879010498,0.8970503384535585,0.9673901794410061,0.10294966154644136,0.07064463658285143,0.9506890775137696,3.5588959058125815,5.071473571216091e-06
ToN-IoT-Network,HypergraphNN,0.8608162717081432,0.7999972494586042,0.9502831040664411,0.20000275054139585,0.06448095507109407,0.9111944946634097,4.779707511266072,6.578930007915469e-06
ToN-IoT-Network,FT-Transformer,0.8121458865506997,0.8249873840620893,0.9546623194266339,0.1750126159379107,0.12878121809826107,0.9088472403968263,38.86123847961426,1.129412217642132e-05
ToN-IoT-Network,LogisticRegression,0.8059453043240682,0.6607489059833637,0.9254335500911782,0.3392510940166364,0.0660416455559759,0.8682242873694249,2.0034693082173667,1.589256594886276e-07
ToN-IoT-Network,GreedyCentrality,0.7950905949418122,0.6658861588112969,0.9272462063428281,0.3341138411887031,0.07929693879716722,0.863305990320038,,
ToN-IoT-Network,GreedyUncertainty,0.7950905949418122,0.6658861588112969,0.9272462063428281,0.3341138411887031,0.07929693879716722,0.863305990320038,,
ToN-IoT-Network,StaticThreshold,0.7950905949418122,0.6658861588112969,0.9272462063428281,0.3341138411887031,0.07929693879716722,0.863305990320038,,
