accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_attack,recall_attack,minority_recall,fpr,fnr,roc_auc,pr_auc,threshold,tn,fp,fn,tp,dataset,seed,component,split,row_cap,post_determinism_fix,note,train_time_sec
0.9458,0.9400026531621408,0.9410860887511333,0.9457322298877726,0.9547244094488189,0.9607965801272026,0.9607965801272026,0.08079127380292106,0.039203419872797414,0.9913063448298489,0.9952191913082145,0.46,4972,437,376,9215,UNSW-NB15,1,No_MoERouter_EqualWeight,test,100000,True,,
0.946803546430238,0.9440921622921424,0.9425202059938489,0.9468955937949272,0.9626473063973064,0.9538156797331109,0.9538156797331109,0.06563135514882604,0.046184320266889074,0.9909020905601529,0.9950149712521663,0.41500000000000004,5054,355,443,9149,UNSW-NB15,1,No_GraphBranch,val,100000,True,,
0.9476666666666667,0.9450899238650026,0.9434611075969502,0.9477602149129009,0.9634736842105264,0.9543321864247732,0.9543321864247732,0.06415233869476798,0.04566781357522678,0.9918686093349632,0.9955596357134537,0.41500000000000004,5062,347,438,9153,UNSW-NB15,1,No_GraphBranch,test,100000,True,,
0.9467368842077195,0.9424678770331658,0.9422717271254276,0.9467486571530467,0.9588769439515709,0.9577773144286906,0.9577773144286906,0.07284156036235903,0.042222685571309426,0.9909511334783053,0.9950423583141758,0.405,5015,394,405,9187,UNSW-NB15,1,No_TemporalBranch,val,100000,True,,
0.9478666666666666,0.9440371308538065,0.9435363526054945,0.9478958551100255,0.9605772247202761,0.9577729121050985,0.9577729121050985,0.06969865039748567,0.04222708789490147,0.9918957115288745,0.9955742029757702,0.405,5032,377,405,9186,UNSW-NB15,1,No_TemporalBranch,test,100000,True,,
0.9460702619825345,0.9462196554533104,0.9420524575709854,0.9463072615845323,0.9692274815685437,0.9456839032527106,0.9456839032527106,0.05324459234608985,0.054316096747289405,0.9908149716801965,0.9949552677347309,0.5,5121,288,521,9071,UNSW-NB15,1,No_Calibration_Raw0.5,val,100000,True,,
0.9470666666666666,0.9467972753389562,0.9430708267173284,0.9472758097742314,0.9687733134391986,0.9477635283077885,0.9477635283077885,0.05416897762987613,0.05223647169221145,0.9918779004142413,0.9955618296987636,0.5,5116,293,501,9090,UNSW-NB15,1,No_Calibration_Raw0.5,test,100000,True,,
0.923005132991134,0.9165740064862704,0.9165236304692113,0.9230097847872023,0.9399311711335906,0.9396371976647206,0.9396371976647206,0.1064891846921797,0.0603628023352794,0.9804966751426398,0.9891380310530686,0.59,4833,576,579,9013,UNSW-NB15,1,Full_DistilledStudent,val,100000,True,,13.746820449829102
0.9218666666666666,0.9152815489054174,0.9152815489054174,0.9218666666666666,0.938901053070587,0.938901053070587,0.938901053070587,0.10833795525975226,0.06109894692941299,0.979668651198793,0.9890279662042742,0.59,4823,586,586,9005,UNSW-NB15,1,Full_DistilledStudent,test,100000,True,,13.746820449829102
0.9172721818545431,0.9041899998781877,0.909147322595375,0.9167234006785447,0.9219807983830217,0.9511050875729775,0.9511050875729775,0.14272508781660195,0.04889491242702252,0.9739108251144766,0.9683311641951957,0.595,4637,772,469,9123,UNSW-NB15,1,No_FocalLoss,val,100000,True,,15.66526985168457
0.9184,0.9064038069985305,0.9105794382269122,0.9179522040824246,0.9249365159979686,0.9494317589406736,0.9494317589406736,0.1366241449436125,0.05056824105932645,0.9742333119927651,0.9702992734228341,0.595,4670,739,485,9106,UNSW-NB15,1,No_FocalLoss,test,100000,True,,15.66526985168457
0.9232051196586895,0.9125782759281591,0.9160157903116286,0.9228676847428784,0.9307001428863033,0.9506880733944955,0.9506880733944955,0.12553152153817712,0.04931192660550459,0.9754584958717215,0.9695886743675093,0.5750000000000001,4730,679,473,9119,UNSW-NB15,1,No_ContrastiveLearning,val,100000,True,,8.104789018630981
0.9243333333333333,0.9150338992352381,0.917465378398746,0.9241031846239469,0.934264585045193,0.9483891147951204,0.9483891147951204,0.11832131632464411,0.051610885204879574,0.976409458172207,0.9717160417604511,0.5750000000000001,4769,640,495,9096,UNSW-NB15,1,No_ContrastiveLearning,test,100000,True,,8.104789018630981
0.919672021865209,0.9109039744095614,0.9125462602467118,0.9195072739903303,0.9327210814157466,0.942347789824854,0.942347789824854,0.12053984100573119,0.057652210175145956,0.9800981159038832,0.9889552332633447,0.61,4757,652,553,9039,UNSW-NB15,1,No_HardClassMining,val,100000,True,,19.986695528030396
0.9189333333333334,0.9098035324182236,0.9116896831239913,0.9187411135652083,0.9314786192684184,0.9425503075800229,0.9425503075800229,0.12294324274357553,0.057449692419977064,0.9798759945478716,0.9890886095330425,0.61,4744,665,551,9040,UNSW-NB15,1,No_HardClassMining,test,100000,True,,19.986695528030396
0.920738617425505,0.9091177386220816,0.913173282011803,0.9203200295356322,0.9271119243671851,0.950792326939116,0.950792326939116,0.13255684969495285,0.04920767306088407,0.9738369378962658,0.9808001875995169,0.495,4692,717,472,9120,UNSW-NB15,1,PlainKD_NoHardClassExtras,val,100000,True,,15.923739671707153
0.9192,0.9081176641555886,0.9116157532892115,0.9188340782196889,0.927369172702234,0.9478677927223439,0.9478677927223439,0.13163246441116658,0.052132207277656134,0.9742055447734701,0.9801926254041493,0.495,4697,712,500,9091,UNSW-NB15,1,PlainKD_NoHardClassExtras,test,100000,True,,15.923739671707153
