macro_f1,balanced_accuracy,fpr,fnr,minority_recall,mean_realized_reward,commit_rate,isolation_rate,abstention_rate,escalation_rate,n_flows,dataset,seed,split,model,mean_expected_reward
0.9686775159167922,0.979906838564147,0.0382641157256182,0.0019222071460877,0.9617358842743816,2.040461270495906,0.9952851908947126,0.0,0.0047148091052873,0.0,99898,CICIoT2023,4,test,AnalyticDecisionTheoretic,2.0395302772521973
0.9694437270502012,0.9715413896578826,0.055745164960182,0.0011720557240528,0.944254835039818,2.0420988890001004,0.991122009808828,0.0,0.008877990191172,0.0,99910,CICIoT2023,5,val,AnalyticDecisionTheoretic,2.0305514335632324
0.967002511518756,0.965064183310979,0.068771138669673,0.0011004947083689,0.9312288613303268,2.041233460776268,0.9908821586564446,0.0,0.0091178413435554,0.0,99914,CICIoT2023,5,test,AnalyticDecisionTheoretic,2.0306358337402344
0.971761930538311,0.9734939636907772,0.0518716577540106,0.0011404148644344,0.9481283422459892,2.043544739528089,0.992685172213661,0.0,0.0073148277863389,0.0,99934,CICIoT2023,6,val,AnalyticDecisionTheoretic,2.0259151458740234
0.974199230978522,0.9775833027316074,0.0436817472698908,0.0011516472668942,0.9563182527301092,2.042614074244593,0.992613573809214,0.0,0.0073864261907859,0.0,99913,CICIoT2023,6,test,AnalyticDecisionTheoretic,2.025935173034668
0.9669667186626256,0.9711024892785038,0.0562347188264058,0.0015603026165864,0.9437652811735942,2.043868604371848,0.9954960365121308,0.0,0.0045039634878693,0.0,99912,CICIoT2023,7,val,AnalyticDecisionTheoretic,2.0352237224578857
0.9708213438569484,0.974421632856976,0.0497394599715774,0.0014172743144705,0.9502605400284224,2.044075990671325,0.9957360345120962,0.0,0.0042639654879037,0.0,99907,CICIoT2023,7,test,AnalyticDecisionTheoretic,2.035611629486084
0.9717034152858892,0.9781717481334428,0.0422391857506361,0.0014173179824786,0.957760814249364,2.043500450315221,0.9940158110677474,0.0,0.0059841889322525,0.0,99930,CICIoT2023,8,val,AnalyticDecisionTheoretic,2.034105062484741
0.974811455767336,0.9824353549885192,0.0337941628264208,0.0013351271965409,0.9662058371735792,2.0445892385299067,0.9940948034270156,0.0,0.0059051965729842,0.0,99912,CICIoT2023,8,test,AnalyticDecisionTheoretic,2.0350797176361084
0.9718998240787642,0.9820898434302716,0.0341922695738354,0.0016280435656214,0.9658077304261644,2.0364325103333707,0.9914730932054964,0.0,0.0085269067945035,0.0,99919,CICIoT2023,9,val,AnalyticDecisionTheoretic,2.031137704849243
0.9696260499202376,0.9806229810375012,0.03698224852071,0.0017717894042873,0.96301775147929,2.03657484334648,0.9920221817381032,0.0,0.0079778182618966,0.0,99902,CICIoT2023,9,test,AnalyticDecisionTheoretic,2.0313520431518555
0.967483209917283,0.9574749321431072,0.0840626439428834,0.0009874917709019,0.9159373560571166,1.3158522765148992,0.8970068662089195,0.0,0.1029931337910805,0.0,15001,UNSW-NB15,4,val,AnalyticDecisionTheoretic,1.2894991636276243
0.9656748246235892,0.9553504342226408,0.087654033945594,0.0016450976091248,0.912345966054406,1.3122,0.8946,0.0,0.1054,0.0,15000,UNSW-NB15,4,test,AnalyticDecisionTheoretic,1.289672613143921
