accuracy,balanced_accuracy,macro_f1,weighted_f1,attack_recall,minority_recall,precision_attack,fpr,fnr,roc_auc,pr_auc,model,family,train_time_sec,inference_latency_sec_per_sample,peak_memory_MB,seed,eval_split,dataset,row_cap,post_determinism_fix
0.99891119428377,0.9974282698116186,0.9982389965144235,0.9989103058188255,0.9998316640013467,0.9950248756218906,0.9988228369629194,0.004975124378109453,0.00016833599865331202,0.9997866786882736,0.9999395945556967,HistGradientBoosting,classical_tree,24.899767637252808,2.3762033520283524e-06,56.389431,0,test,ToN-IoT-Network,100000,True
0.9987070432119769,0.9974376168264691,0.997910229013018,0.9987064285217199,0.99949499200404,0.9953802416488984,0.9989064602960969,0.004619758351101635,0.0005050079959599361,0.9998381994341302,0.9999579128488908,XGBoost,classical_tree,0.3433670997619629,2.6376120043920393e-07,0.570798,0,test,ToN-IoT-Network,100000,True
0.9988431439265056,0.9979285818673176,0.9981312200481567,0.9988429084500299,0.9994108240047134,0.9964463397299218,0.9991585324806462,0.0035536602700781805,0.000589175995286592,0.9997653226287431,0.9999284475353138,LightGBM,classical_tree,0.6083550453186035,7.792450449587578e-07,4.171561,0,test,ToN-IoT-Network,100000,True
0.9980265396393331,0.9962031827467924,0.996809482697623,0.9980253327737011,0.9991583200067334,0.9932480454868514,0.9984020185029436,0.006751954513148543,0.0008416799932665601,0.9998148543298393,0.9999546039084349,CatBoost,classical_tree,4.272194862365723,6.117760709208994e-07,0.853164,0,test,ToN-IoT-Network,100000,True
0.7717250973288363,0.8669775784410225,0.518276234163964,0.8509357353268981,0.7669267762476544,0.9670283806343907,0.998944865904477,0.03297161936560935,0.2330732237523456,0.969222935929313,0.9981526721930071,LogisticRegression,classical_tree,2.6398684978485107,1.7621008246171585e-07,41.707426,0,test,CICIoT2023,100000,True
0.9859286021677559,0.7902550752250097,0.8293437439808873,0.984973168025587,0.9957856095485168,0.5847245409015025,0.9898580121703854,0.4152754590984975,0.00421439045148324,0.9894610324105386,0.999533542546121,LinearSVM,classical_tree,17.10235857963562,5.193434740000728e-07,42.897456,0,test,CICIoT2023,100000,True
0.9542429367787908,0.974727388481125,0.7434028771674437,0.9648439506733297,0.9532110373963065,0.9962437395659433,0.9999031935376308,0.0037562604340567614,0.04678896260369349,0.985899614930955,0.9994785721566379,GaussianNB,classical_tree,0.07283949851989746,7.434000055670093e-07,74.344428,0,test,CICIoT2023,100000,True
0.9868993885046888,0.8878477183679474,0.8674195397807585,0.987243264342309,0.9918890928293839,0.7838063439065108,0.9946735218508997,0.21619365609348914,0.008110907170616162,0.9884234448901974,0.9995399084464172,kNN,classical_tree,0.02634572982788086,2.626789144824984e-05,99.959725,0,test,CICIoT2023,100000,True
0.991332979713568,0.9892498434126502,0.9203941243231815,0.9919376555586309,0.9914379172092737,0.9870617696160268,0.9996794838656313,0.01293823038397329,0.00856208279072629,0.9904915671020939,0.9995462345001527,DecisionTree,classical_tree,0.33734893798828125,9.824127281867845e-08,24.906753,0,test,CICIoT2023,100000,True
0.9933446091333981,0.9847844077773049,0.9360362025617163,0.993677269109374,0.9937758272407534,0.9757929883138564,0.9994019015406191,0.024207011686143573,0.006224172759246536,0.9989770573704997,0.9999750387103548,RandomForest,classical_tree,1.924433708190918,1.7972722120005094e-06,311.923658,0,test,CICIoT2023,100000,True
0.989041123309881,0.9923503983316158,0.9038588516730834,0.9900147436689329,0.9888744193677389,0.9958263772954925,0.9998963171864632,0.004173622704507512,0.011125580632261108,0.9985590103593901,0.9999648743534307,ExtraTrees,classical_tree,1.3157353401184082,1.6973940618585625e-06,249.310981,0,test,CICIoT2023,100000,True
0.9960167735866051,0.9647801309727424,0.9580665221455978,0.9960455192402137,0.9975903120289573,0.9319699499165276,0.998327364521657,0.06803005008347246,0.002409687971042728,0.9994340682649118,0.9999861485844038,GradientBoosting,classical_tree,36.88058161735535,4.1615458437410965e-06,28.968072,0,test,CICIoT2023,100000,True
0.9953662466597945,0.9599686851834122,0.9514225650093833,0.9954092498206998,0.9971493904002133,0.922787979966611,0.9981012008621575,0.07721202003338898,0.002850609599786717,0.9992428993720364,0.9999815007150413,HistGradientBoosting,classical_tree,4.556140899658203,1.3103489306990519e-06,91.727016,0,test,CICIoT2023,100000,True
0.995856643881544,0.9614412328091364,0.9562403872958197,0.9958799791822015,0.9975903120289573,0.9252921535893155,0.9981634809730473,0.07470784641068448,0.002409687971042728,0.9993721356121342,0.9999846301325559,XGBoost,classical_tree,1.232865333557129,2.2917952808742854e-07,1.613256,0,test,CICIoT2023,100000,True
